2026-05-07 17:09:05,145 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (7/16) dim=768
2026-05-07 17:09:05,298 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.10s
2026-05-07 17:09:05,298 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (8/16) dim=768
2026-05-07 17:09:05,554 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.20s
2026-05-07 17:09:05,554 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (9/16) dim=768
2026-05-07 17:09:05,677 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.07s
2026-05-07 17:09:05,677 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (10/16) dim=768
2026-05-07 17:09:05,782 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.05s
2026-05-07 17:09:05,782 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (11/16) dim=768
2026-05-07 17:09:05,905 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.07s
2026-05-07 17:09:05,905 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (12/16) dim=768
2026-05-07 17:09:06,014 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.06s
2026-05-07 17:09:06,014 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (13/16) dim=768
2026-05-07 17:09:06,131 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.06s
2026-05-07 17:09:06,131 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (14/16) dim=768
2026-05-07 17:09:06,242 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.06s
2026-05-07 17:09:06,242 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (15/16) dim=768
2026-05-07 17:09:06,356 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.06s
2026-05-07 17:09:06,356 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (16/16) dim=768
2026-05-07 17:09:06,407 | INFO | backend.integrations.ollama_client | [EMB-END] rid=a242bded model=nomic-embed-text n=16 elapsed=2.02s
2026-05-07 17:09:06,407 | INFO | rag.vectorstores.faiss_store | [DataFaissStore] appended meta.jsonl lines=16 -> C:\Projects\Dtro_Safety_On_addASK\data\data_index\meta.jsonl
2026-05-07 17:09:06,407 | INFO | rag.vectorstores.faiss_store | [FaissStore] add ok vectors=16 ntotal 6955 -> 6971
2026-05-07 17:09:06,419 | INFO | dataops.pipelines.build_data_index | [BuildDataIndex] file=trend batch=276/454 added=16 ntotal=6971
2026-05-07 17:09:06,421 | INFO | backend.integrations.ollama_client | [EMB-START] rid=407abdd2 model=nomic-embed-text n=16
2026-05-07 17:09:06,563 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.14s
2026-05-07 17:09:06,564 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (1/16) dim=768
2026-05-07 17:09:06,678 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.06s
2026-05-07 17:09:06,678 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (2/16) dim=768
2026-05-07 17:09:06,786 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.06s
2026-05-07 17:09:06,786 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (3/16) dim=768
2026-05-07 17:09:06,899 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.06s
2026-05-07 17:09:06,899 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (4/16) dim=768
2026-05-07 17:09:07,014 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.06s
2026-05-07 17:09:07,014 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (5/16) dim=768
2026-05-07 17:09:07,122 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.06s
2026-05-07 17:09:07,122 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (6/16) dim=768
2026-05-07 17:09:07,232 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.06s
2026-05-07 17:09:07,232 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (7/16) dim=768
2026-05-07 17:09:07,356 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.07s
2026-05-07 17:09:07,356 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (8/16) dim=768
2026-05-07 17:09:07,471 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.06s
2026-05-07 17:09:07,471 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (9/16) dim=768
2026-05-07 17:09:07,587 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.06s
2026-05-07 17:09:07,588 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (10/16) dim=768
2026-05-07 17:09:07,773 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.13s
2026-05-07 17:09:07,773 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (11/16) dim=768
2026-05-07 17:09:07,890 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.06s
2026-05-07 17:09:07,890 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (12/16) dim=768
2026-05-07 17:09:08,006 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.06s
2026-05-07 17:09:08,006 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (13/16) dim=768
2026-05-07 17:09:08,128 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.07s
2026-05-07 17:09:08,128 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (14/16) dim=768
2026-05-07 17:09:08,242 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.06s
2026-05-07 17:09:08,242 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (15/16) dim=768
2026-05-07 17:09:08,363 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=407abdd2 attempt=1/3 dt=0.07s
2026-05-07 17:09:08,365 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=407abdd2 (16/16) dim=768
2026-05-07 17:09:08,417 | INFO | backend.integrations.ollama_client | [EMB-END] rid=407abdd2 model=nomic-embed-text n=16 elapsed=2.00s
2026-05-07 17:09:08,417 | INFO | rag.vectorstores.faiss_store | [DataFaissStore] appended meta.jsonl lines=16 -> C:\Projects\Dtro_Safety_On_addASK\data\data_index\meta.jsonl
2026-05-07 17:09:08,426 | INFO | rag.vectorstores.faiss_store | [FaissStore] add ok vectors=16 ntotal 6971 -> 6987
2026-05-07 17:09:08,426 | INFO | dataops.pipelines.build_data_index | [BuildDataIndex] file=trend batch=277/454 added=16 ntotal=6987
2026-05-07 17:09:08,426 | INFO | backend.integrations.ollama_client | [EMB-START] rid=927ddd50 model=nomic-embed-text n=16
2026-05-07 17:09:08,518 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.09s
2026-05-07 17:09:08,520 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (1/16) dim=768
2026-05-07 17:09:08,647 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.07s
2026-05-07 17:09:08,652 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (2/16) dim=768
2026-05-07 17:09:08,770 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.07s
2026-05-07 17:09:08,771 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (3/16) dim=768
2026-05-07 17:09:08,884 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.06s
2026-05-07 17:09:08,884 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (4/16) dim=768
2026-05-07 17:09:08,999 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.06s
2026-05-07 17:09:08,999 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (5/16) dim=768
2026-05-07 17:09:09,116 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.07s
2026-05-07 17:09:09,116 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (6/16) dim=768
2026-05-07 17:09:09,230 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.06s
2026-05-07 17:09:09,230 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (7/16) dim=768
2026-05-07 17:09:09,355 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.07s
2026-05-07 17:09:09,355 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (8/16) dim=768
2026-05-07 17:09:09,481 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.08s
2026-05-07 17:09:09,481 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (9/16) dim=768
2026-05-07 17:09:09,635 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.10s
2026-05-07 17:09:09,636 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (10/16) dim=768
2026-05-07 17:09:09,752 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.06s
2026-05-07 17:09:09,752 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (11/16) dim=768
2026-05-07 17:09:09,871 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.07s
2026-05-07 17:09:09,871 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (12/16) dim=768
2026-05-07 17:09:10,002 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.08s
2026-05-07 17:09:10,003 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (13/16) dim=768
2026-05-07 17:09:10,122 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.07s
2026-05-07 17:09:10,122 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (14/16) dim=768
2026-05-07 17:09:10,237 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.06s
2026-05-07 17:09:10,238 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (15/16) dim=768
2026-05-07 17:09:10,344 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=927ddd50 attempt=1/3 dt=0.05s
2026-05-07 17:09:10,344 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=927ddd50 (16/16) dim=768
2026-05-07 17:09:10,395 | INFO | backend.integrations.ollama_client | [EMB-END] rid=927ddd50 model=nomic-embed-text n=16 elapsed=1.97s
2026-05-07 17:09:10,399 | INFO | rag.vectorstores.faiss_store | [DataFaissStore] appended meta.jsonl lines=16 -> C:\Projects\Dtro_Safety_On_addASK\data\data_index\meta.jsonl
2026-05-07 17:09:10,405 | INFO | rag.vectorstores.faiss_store | [FaissStore] add ok vectors=16 ntotal 6987 -> 7003
2026-05-07 17:09:10,407 | INFO | dataops.pipelines.build_data_index | [BuildDataIndex] file=trend batch=278/454 added=16 ntotal=7003
2026-05-07 17:09:10,409 | INFO | backend.integrations.ollama_client | [EMB-START] rid=42905799 model=nomic-embed-text n=16
2026-05-07 17:09:10,467 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=42905799 attempt=1/3 dt=0.06s
